module,genome_name,db_name,module_name,module_class,module_category,module_subcategory,module_definition,stepwise_module_completeness,stepwise_module_is_complete,pathwise_module_completeness,pathwise_module_is_complete,proportion_unique_enzymes_present,enzymes_unique_to_module,unique_enzymes_hit_counts,enzyme_hits_in_module,gene_caller_ids_in_module,warnings
M00532,P1211_Sourdough_BE,P1211_Sourdough_BE,Photorespiration,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437",0.2,False,0.25,False,1.0,"K02437,K03781","2,1","K00382,K00600,K02437,K02437,K03781","1595,1868,1885,402,94","K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00600 is present in multiple modules: M00532/M00346/M00975/M00140/M00141"
M00982,P1211_Sourdough_BE,P1211_Sourdough_BE,Methylcitrate cycle,Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,"K01659 (K01720,(K20455 K09788)) (K01682,K27802) (K03417,K01637) (K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00024,K00116)",0.1428571428571428,False,0.1428571428571428,False,,No enzymes unique to module,,K01679,1715,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614
M00131,P1211_Sourdough_BE,P1211_Sourdough_BE,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",Pathway modules,Carbohydrate metabolism,Other carbohydrate metabolism,K01106 K01107 K01109 K01092,0.25,False,0.25,False,1.0,K01092,1,K01092,1592,
M00165,P1211_Sourdough_BE,P1211_Sourdough_BE,Reductive pentose phosphate cycle (Calvin cycle),Pathway modules,Energy metabolism,Carbon fixation,"(K00855,K28462) (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783",0.6363636363636364,False,0.6363636363636364,False,,No enzymes unique to module,,"K00134,K00615,K00615,K00615,K00927,K01624,K01783,K01803,K01807,K01807","1331,2778,68,1739,1330,425,1177,1329,2278,445","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01783 is present in multiple modules: M00004/M00007/M00165,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612"
M00169,P1211_Sourdough_BE,P1211_Sourdough_BE,"CAM (Crassulacean acid metabolism), light",Pathway modules,Energy metabolism,Carbon fixation,K00029 K01006,0.5,False,0.5,False,,No enzymes unique to module,,K00029,1710,K00029 is present in multiple modules: M00169/M00172
M00172,P1211_Sourdough_BE,P1211_Sourdough_BE,"C4-dicarboxylic acid cycle, NADP - malic enzyme type",Pathway modules,Energy metabolism,Carbon fixation,K01595 K00051 K00029 K01006,0.25,False,0.25,False,,No enzymes unique to module,,K00029,1710,K00029 is present in multiple modules: M00169/M00172
M00170,P1211_Sourdough_BE,P1211_Sourdough_BE,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",Pathway modules,Energy metabolism,Carbon fixation,K01595 K14454 K14455 K01610,0.25,False,0.25,False,,No enzymes unique to module,,K01610,2871,K01610 is present in multiple modules: M00003/M00170
M00173,P1211_Sourdough_BE,P1211_Sourdough_BE,Reductive citrate cycle (Arnon-Buchanan cycle),Pathway modules,Energy metabolism,Carbon fixation,"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K27802,K01682) (K15230+K15231)",0.2,False,0.2,False,,No enzymes unique to module,,"K01007,K01679,K01958","802,1715,1584","K01007 is present in multiple modules: M00173/M00374/M00614,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K01958 is present in multiple modules: M00173/M00614"
M00376,P1211_Sourdough_BE,P1211_Sourdough_BE,3-Hydroxypropionate bi-cycle,Pathway modules,Energy metabolism,Carbon fixation,"(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709",0.0769230769230769,False,0.1346153846153846,False,,No enzymes unique to module,,"K01679,K01961,K01963,K02160,K02160,K02160","1715,2287,2286,2288,605,452","K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K01961 is present in multiple modules: M00376/M00082/M00613,K01963 is present in multiple modules: M00376/M00082/M00613,K02160 is present in multiple modules: M00376/M00082/M00613"
M00374,P1211_Sourdough_BE,P1211_Sourdough_BE,Dicarboxylate-hydroxybutyrate cycle,Pathway modules,Energy metabolism,Carbon fixation,"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861,K25774) K14534 K15016 K00626",0.0769230769230769,False,0.0769230769230769,False,,No enzymes unique to module,,K01007,802,K01007 is present in multiple modules: M00173/M00374/M00614
