key,P1210_SD_BE,P2216_UniAntwerpt_BE,P2297_SD_Lesaf_BE,P2301_SD_Lale_BE,P2496_SD_IT,P2500_SD_IT,P2531_SD_IT,P2593_Unknown_BE,P2599_Fresh_Strawberry_BE,P2605_Fresh_Strawberry_BE,P2694_LMG_BE,P2695_Unknown_BE,P2710_SD_BE,P2771_Cococa_Vietnam_BE,P2795_Unknown_BE,P2796_Unknown_BE,P2928_Oganic_Rye_SD_BE,P2929_Organic_Rye_SD_BE,P2933_Rye_SD_BE,P2934_Rye_SD_BE,P3349_Bambara_BE,P3350_Sorghum_seso_BE,P3351_Finger_millet_BE,P3352_Finger_millet_BE,P3353_Maize_BE,P3354_OFSP_BE,P3401_Brown_teff_BE,P950_Fermented_Rice_BE,Reference
P2694_LMG_BE,0.8016927804708153,0.7967214188597079,0.7968386031628194,0.7997859633988607,0.7988203700095677,0.8027141114247606,0.7930957462411098,0.7917650551661263,0.7957654856320565,0.7957255382048465,1.0,0.7979655014022321,0.7971855153068804,0.7961292230945615,0.7773874578268306,0.7956192426261919,0.8003010437972743,0.773339310931704,0.7953090959751961,0.7784057488991543,0.7950401716342922,0.8010131369981104,0.7952448306971028,0.8002728704034177,0.8014344983269803,0.7918245713772969,0.8015908450170157,0.7980109479396333,0.8792709804374296
P2695_Unknown_BE,0.9222078250149596,0.9181164466959432,0.8996288912194831,0.903151557113956,0.9262254485166256,0.8757908383520977,0.9195613565998116,0.9174436048165556,0.9138012504013716,0.9137709526138568,0.8373666061458931,1.0,0.9168822172706822,0.8408861556090914,0.8805137205184449,0.923006341704773,0.9088842086108526,0.9037241027724452,0.9366695139029234,0.8944980065930078,0.9132622606468482,0.8725317769669612,0.8502589778089445,0.8633526629597867,0.8725280783464879,0.906645996591486,0.8728315978512258,0.917359955828259,0.8656928164058357
P2710_SD_BE,0.8838670644621333,0.8391358508983928,0.8375759435205298,0.8385058960846836,0.884689686698213,0.826044887778719,0.868464418825984,0.8684532909974595,0.9639837710945706,0.9637713666460304,0.7887774295261567,0.8634099218766167,1.0,0.7957904079939595,0.842988857559365,0.8835176295310145,0.8441730187569036,0.8218520787494327,0.8984494021443096,0.8584372599379158,0.9609389547844204,0.8201570742521143,0.7963165229266373,0.8043334280828084,0.8203677530421615,0.830766659668214,0.8203669696075182,0.8870158299587896,0.8123718299851054
P2771_Cococa_Vietnam_BE,0.8040535054977452,0.8051511114823945,0.7991747803672727,0.8013474251424292,0.8028232465053284,0.8091035769434796,0.8026013167921457,0.8020673978407298,0.808358642299829,0.8083621688008629,0.8041471165841828,0.8063023054582596,0.808997049267565,1.0,0.7881734135618302,0.80315859568256,0.8060215162135911,0.7861003192265262,0.8097168278337162,0.7941052940845077,0.8083707357674735,0.904835331275014,0.9088462306123812,0.894387238699487,0.9048087340893156,0.8155199134708725,0.9048017658773954,0.8061117377334678,0.8326865560669162
P2795_Unknown_BE,0.937811967145632,0.899944237981466,0.8816322762095364,0.8834160316141739,0.9635894058134744,0.8866439785518072,0.924679056731912,0.9244247135187206,0.9215683485467852,0.9214656459673268,0.8429590993313485,0.9143702987255112,0.9251427787042722,0.8464520609062449,1.0,0.988684833394028,0.898762210664241,0.912284713108898,0.951312627466212,0.9469612572827676,0.9215755617874498,0.8668091187224669,0.8492869943159017,0.8540504495690345,0.8668087623789548,0.909021494794827,0.8668071185258515,0.9411546789565248,0.8700012298604423
P2796_Unknown_BE,0.8799631521638046,0.8452667421236055,0.8131673561805469,0.8158810344775839,0.9223597414477462,0.8420139680885758,0.870141139281103,0.869152269410275,0.8666844948743813,0.8658807338265568,0.7725607033383527,0.8553070847863091,0.866754280440037,0.768905185079503,0.8819483351408767,1.0,0.8473752497769406,0.8249676186352447,0.9128289173424224,0.8592113617455381,0.8658325678908966,0.8067907666389905,0.7785911694988661,0.7836091309301428,0.8067264153187977,0.8465019672915262,0.8068577536386913,0.8841838995776841,0.7846131605647394
P2928_Oganic_Rye_SD_BE,0.8869769261418029,0.8917652974228126,0.8798611471175612,0.8819489133750061,0.8913375437826466,0.8711959194075245,0.8861763672632677,0.8847566483504574,0.8798611077843745,0.8798675911048639,0.8290148317622019,0.8985989979201724,0.8811663049523965,0.8226266301637516,0.8516452751322559,0.9020071592719384,1.0,0.8648823189721343,0.8969441441304099,0.8611094272378619,0.8796745116780293,0.8556977109796288,0.8374285085910993,0.8354754037752485,0.8558850872130744,0.8824041723097222,0.8560826511094974,0.8850847659478734,0.8518500558982308
P2929_Organic_Rye_SD_BE,0.9409435957309508,0.9278252149316898,0.9155067027944274,0.9169484502601822,0.950473650274462,0.8991392593506212,0.939880088674526,0.9393397133452328,0.9344424855557256,0.9347948227940208,0.8591555916406367,0.968268492180811,0.9353199772715636,0.8705371440173949,0.9387853065660624,0.9536908708065058,0.93773370673464,1.0,0.9513296138382802,0.945342379450698,0.9339251608778106,0.8875088101606173,0.8718702872832704,0.8850846576355322,0.8875097013659947,0.9298772444323358,0.8875083476303218,0.9494599628726832,0.8982579918453264
P2933_Rye_SD_BE,0.8844158127373749,0.849489085971909,0.8269617467585803,0.8296296273204558,0.9089632148902236,0.8198440429499496,0.8805170014441327,0.8772164769086952,0.8872649445928683,0.8865098187280744,0.7768873080779842,0.875724194165614,0.8891637574666331,0.7808850775745435,0.8527676015877544,0.9115052643622276,0.8424821440431688,0.8313818630552391,1.0,0.8853897479922023,0.886165798593104,0.8146224515672444,0.7845668361285414,0.7924943796869746,0.8149771126408106,0.8510334799836656,0.8149752251961039,0.8976586760102135,0.7931348284292448
P2934_Rye_SD_BE,0.9469116489697632,0.915650640831182,0.8969212929366299,0.8996738675761339,0.9618520791150398,0.8846428487118713,0.9422030765644543,0.9415424097330594,0.9414605765946934,0.9409211666336256,0.8454095535536054,0.9353505902936772,0.9453048237500236,0.8579345779321736,0.9493015206458586,0.96134347404639,0.9123566867361036,0.9246346001070156,0.9931755334802936,1.0,0.9414020692380186,0.882593976508527,0.8599577789319587,0.8692953335320813,0.8826157634514759,0.9194620460438586,0.8826136580183006,0.9595192677878286,0.8814133556145617
P3349_Bambara_BE,0.894810049018157,0.8668528651627181,0.8619051223621765,0.8645725760873595,0.9109657762004264,0.8527436896956859,0.8919205139755004,0.8906404076294385,0.9987945021807204,0.9985856501839796,0.8112577817078689,0.8870000442338342,0.9988598487226004,0.8208747039018315,0.8649816635019367,0.911112940753627,0.8691332953768466,0.8502473967393912,0.9245888735785333,0.8779546425559269,1.0,0.841236740352722,0.8192988632158026,0.8265541190236565,0.8412349074188289,0.8568725661712724,0.841234658624384,0.9150008510268391,0.8342431823053821
P3350_Sorghum_seso_BE,0.8094720166707298,0.798886485318449,0.785228692381313,0.7876302962090254,0.8145201522806332,0.8008173562827983,0.8072630704240997,0.805507557922334,0.8134369380415696,0.8130860022629978,0.7881401400301025,0.8184969757469839,0.8159708708418014,0.8799354251375346,0.7829535668823734,0.8139117110691868,0.810323677542038,0.7797666935647256,0.8235199039587232,0.7935638003541873,0.8128574035818791,1.0,0.8919323707595959,0.8700736565497242,0.9983123263657364,0.7985406040282231,0.9982968637585328,0.8091646955784505,0.8079384009356102
P3351_Finger_millet_BE,0.7939375899766712,0.7935959485604898,0.7871357681596667,0.7897094676341139,0.7932413859463103,0.7941289171933635,0.7896343962219629,0.7881798246619913,0.7911012982000146,0.7906231433067349,0.7854900803717254,0.7945395539582275,0.7927807951517448,0.8890603189525252,0.7726864071194208,0.7912455923456237,0.7993488588314198,0.7686987732647931,0.7922138410862033,0.776353323095612,0.7905637568722584,0.894904145738149,1.0,0.8731950097653808,0.8953081398188149,0.7906123887463251,0.8952807723107735,0.7920931672880611,0.813120914285471
P3352_Finger_millet_BE,0.8182819469226846,0.8121553033610709,0.8061855829665555,0.8088113099953917,0.8183611002920078,0.8140906374458388,0.8175751776720382,0.8154490262967682,0.8177412037775563,0.8172939366705759,0.8048400699508481,0.8289673946787806,0.8182373293275875,0.8920786205748958,0.7927761414861774,0.8157071217063773,0.8125614221916062,0.7984058668826713,0.8200275250465616,0.8037877295670022,0.8172554114697756,0.8953430916635149,0.8983717318791351,1.0,0.8954600346453253,0.8136021824379789,0.8954556686879686,0.8152755685573139,0.8340596560878397
P3353_Maize_BE,0.8123040389904697,0.8048560756232352,0.7923018561960625,0.7941838389427418,0.8152057137815193,0.8003974797165982,0.8095532301198175,0.8075175381353001,0.8152534524059151,0.8149014485030076,0.7889454784507103,0.8197276586489506,0.817750761476881,0.8800461703923558,0.7857367326741385,0.817088911489092,0.8114477311360381,0.781457009076979,0.826973491992014,0.7964663346682389,0.8135645913832907,0.9991523076042964,0.8912255928766393,0.8723369375820701,1.0,0.8033044042789508,0.9999248925452828,0.8111058116905887,0.8122690220821935
P3354_OFSP_BE,0.8898942857242569,0.912613310884276,0.9048138337593358,0.9089608870090022,0.8943056560899693,0.8501469682895357,0.8882344797408683,0.8871195897561867,0.8689757223619302,0.8685427493606599,0.8243945855505624,0.8972140117141199,0.8700315038658026,0.8381645317196504,0.8614782619139685,0.89685013612041,0.8862070148528394,0.8623629964964987,0.899421680074355,0.8708334719365125,0.8684926962595617,0.8476223933397546,0.8331981121384575,0.8382326650106453,0.8476668762038956,1.0,0.8476538352436591,0.8904422723184316,0.8536971712241401
P3401_Brown_teff_BE,0.8117851541831703,0.8040151031383104,0.7907468583955853,0.7933231610700442,0.8157645580822319,0.8023280605286365,0.8095567312106031,0.8077887184589234,0.8159579353883744,0.8155371219785128,0.791689306812398,0.8196614349288769,0.8184900653108089,0.8816123438208749,0.7838629758975232,0.8176261081548089,0.8118896358252572,0.7823242830908131,0.8270499306683265,0.7962870602003512,0.8148077372932618,0.9989618902365854,0.8925902106975203,0.8733955015405611,0.9995109270796272,0.8027938491215283,1.0,0.8102910892895412,0.8123498556405319
P950_Fermented_Rice_BE,0.8958914532763674,0.8449712181068197,0.8553142632229533,0.8581455190929903,0.9081502721402772,0.8189826124497661,0.8910495630291069,0.888930854995832,0.8965020779390128,0.8963975694746747,0.797286125889412,0.8726032274199721,0.8972448446756289,0.7956472701260598,0.8602743877841162,0.9076844253859732,0.854629019194195,0.8454727387628188,0.9162520454879536,0.872725914065035,0.8959732621757241,0.8223635180105344,0.802613423423332,0.8069924428286487,0.8223666441330115,0.8549157414143235,0.822543785808578,1.0,0.8122955249277707
Reference,0.8164976980763908,0.8154610686187316,0.8106141616116925,0.8122082471420916,0.8079171477375238,0.8129578362043739,0.8107290632148207,0.8093907772892538,0.8115891575409115,0.8115001492087842,0.8684556379865133,0.81400730858302,0.8170065301660456,0.8205296098107866,0.7987962122987733,0.8073396775166086,0.8199550004131692,0.7955085994975956,0.8100339798788682,0.8056857854526839,0.8116418001354221,0.8174545254502502,0.8186696699079922,0.8197831550044133,0.8174549230101054,0.8162051821309342,0.8174545254502502,0.8087009173016358,1.0
