layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P2746_Cocoa_VN	0.9778545333333334	0.9943781767648695	0.9790932741738065	0.9944096004501971	0.9931850427350427	0.9773354017305315	0.9783027857589008	0.9781362476547842	0.9780830012531329	0.9760269844357977	0.9780774466750313	0.9789697472256473	0.9963767732884401	1.0	0.9761118682710576	0.9768908017402111	0.9776953256936068	0.9766801772616135	0.9783170507201002	0.9942504197814838	0.994434192459201	0.9946140056657224	0.9939706380575946	0.976710530487805
P2763_Cocoa_VN	0.9770894832041342	0.9943277045454546	0.9800265913370997	0.9947111456534254	0.9931715446685881	0.9784592774936062	0.9785395622263914	0.9785250938673342	0.9785135866834171	0.9770403036303631	0.9785056002514142	0.9795974387947269	1.0	0.9968081050866409	0.9760092396907216	0.977246187460418	0.9784283845208847	0.9774505819101834	0.9771740329740012	0.9943481887012232	0.9943003466204507	0.9943080555555558	0.993798744266055	0.9774987760252367
P2764_Cocoa_VN	0.985559919493962	0.9773646012994683	0.9796638537434708	0.9786023976261128	0.9804552448377583	0.9854840455840457	0.980562878876536	0.9805069794721408	0.9804567629716983	0.986076023880597	0.9804588384433963	1.0	0.9785697912829957	0.9783408786610879	0.9858317136150234	0.9852510777084514	0.9797654951345163	0.9781063123899003	0.978640243902439	0.9785520538922156	0.979047767164179	0.9792655131264917	0.9801912705882353	0.9778158172231984
P2809_Apricot_BE	0.9801749493746279	0.9770880060240964	0.9880537194775697	0.9774304278728607	0.9769456167664672	0.9810843582263711	0.9999675083692015	0.9998926086956522	0.9999916475644699	0.9790779181708784	1.0	0.9806532534451767	0.9775005958230959	0.9777129817073171	0.9803674785276074	0.9797911914401388	0.9884616200527705	0.9905123365487675	0.9872561776278809	0.9773242300556585	0.976484781287971	0.9776871894218943	0.9771781200727714	0.9905193368983958
P3124_LMG_BE	0.9917678263403263	0.97567088501292	0.9804180666666669	0.9761147013977128	0.9782232239747635	0.9904395573675016	0.9796836630695442	0.979692303539292	0.9796545306859206	1.0	0.9796685396634613	0.9868316666666667	0.9765799003322259	0.9763712890625	0.9899538178528348	0.9917891206313416	0.9796670720188901	0.9788189044430919	0.9786113202933986	0.9762020179372197	0.9766300064557778	0.9765730582213692	0.9779558819756254	0.9788279014598539
P3333_Amaranth_BE	0.9802469940828401	0.9768318302227573	0.9880197609561752	0.9769731909701037	0.9766363076002393	0.9810866239067056	0.9999160220201053	0.9998952390057362	1.0	0.9789365446910618	0.9999953349282297	0.9804684844868734	0.9772726199261992	0.977547379352474	0.9801753719512195	0.9802501101449274	0.9884534320465362	0.9905372103004293	0.9873117015262861	0.9768582552404438	0.976148246041413	0.9773259791282997	0.9767699513677812	0.9905434689507494
P3334_WhiteCowpea_BE	0.9808025616355984	0.9775222721674877	0.9881827304147466	0.9778614597629444	0.9772147076735687	0.9811934667451443	0.9999845348837211	1.0	0.999841016121153	0.9800184043848965	0.9998465834557024	0.9810484210526316	0.9781460075093869	0.9780595226286423	0.9810240590405904	0.9804058289085547	0.9886883879634604	0.9906095874049946	0.9872951718213057	0.9775339332913783	0.9766851700680275	0.9780048052763819	0.9773537886279356	0.9906172505422994
P3335_RedCowpea_BE	0.9807476371308016	0.9774854972205066	0.988197218350755	0.9775528277153558	0.9771408517156863	0.9811849315883403	1.0	0.9998786546867412	0.9998400195886386	0.9795213516819573	0.9998423860852523	0.9805413851761848	0.9777488408521303	0.9781053212726138	0.9804350217526414	0.9798632724056603	0.988649751082251	0.9907537595628416	0.9871231109833238	0.9773148517350158	0.9765366500622665	0.9778238176100627	0.9774680999383095	0.9907591057797164
P3378_Banana_BE	0.9898965574712644	0.9761496404215746	0.9805325132743362	0.9764206419753088	0.9787358708891596	1.0	0.9798042656524284	0.9799124692082112	0.980011936433196	0.9898442108328479	0.9800160270747499	0.9861884414831981	0.9771057837492002	0.9772834704049842	0.9886353223915592	0.9888845905292479	0.980862605430387	0.9786203264094955	0.9789418323353295	0.9774137826086957	0.9771070504044805	0.9777267080745342	0.9779555419473362	0.9785067694131595
P360_Cocoa_CR	0.9780958541147132	0.9920154738655947	0.9796376806314512	0.9929414521640091	1.0	0.9781575122850122	0.9769569198055894	0.9767618248175183	0.9767184348355663	0.9767542364217252	0.9767248265368228	0.9807752450980393	0.9930502396259497	0.992591626297578	0.9776080152671754	0.9771769054972205	0.9769123228111971	0.9770079507692309	0.9771935165521549	0.9930961351819757	0.993957836938436	0.9934189536878215	0.9927393042986427	0.9768432230392158
P363_Unknown_BE	0.9777621628498727	0.9943414971751413	0.9801024598269468	1.0	0.9935696674311926	0.978596142227816	0.977878975	0.9777451031894933	0.9777105527638191	0.9770237799352751	0.9777112876884424	0.9796097501561525	0.9944037674418605	0.9942569043576684	0.9755970677644079	0.9764070050125315	0.9776134434250766	0.9777793037974684	0.9778519020715633	0.9973213440265488	0.9956451181102364	0.9983218530524042	0.9955007961603615	0.9777908780795957
