layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P2746_Cocoa_VN	0.772736735290306	0.908527290998244	0.807964839901514	0.898709210805634	0.882244344784652	0.798444706373369	0.793272013859237	0.79292737256009	0.791478662337845	0.757814028045285	0.791326161654222	0.805009896704035	0.910945365112045	1.0	0.779766600880678	0.784657206009637	0.81162005627406	0.808215747688235	0.788716016242153	0.884749959262373	0.899920551679682	0.892992549221906	0.90054919744316	0.808964873742185
P2763_Cocoa_VN	0.80315994797648	0.934876075930094	0.83616181026088	0.92677938428187	0.924083668001328	0.818694371265361	0.835197379389822	0.834926752250957	0.833266571765188	0.790361450341501	0.833197503724124	0.833805222316797	1.0	0.955796436088997	0.809638572429514	0.815358432261815	0.842944814327863	0.825665395721377	0.819389288722558	0.918711182829555	0.924962287051097	0.922253685215158	0.932264868051313	0.826569916518212
P2764_Cocoa_VN	0.839785200376917	0.818794063725562	0.841521374596991	0.811684099619482	0.824040821269471	0.861984191736864	0.830983974656155	0.830111534806212	0.828383301787911	0.81900125998457	0.828374716659331	1.0	0.800311572396495	0.813704804074625	0.834435015237671	0.852652971888315	0.840094620708962	0.825044752052095	0.813844405079196	0.813516712664891	0.814837317488815	0.809767203148104	0.832390491003301	0.825524566077222
P2809_Apricot_BE	0.790169117934318	0.778990932360402	0.842594318692244	0.771089138907916	0.790081813492439	0.812443286581675	0.998943495406191	0.999212531625928	0.999362450281839	0.788116018084493	1.0	0.792689075833336	0.771871592737323	0.770154410666147	0.777654682095331	0.808421254281437	0.893800451620438	0.889199902998227	0.843091169832034	0.7673769952831	0.779769664911557	0.768165073278917	0.782487476621145	0.889403503750513
P3124_LMG_BE	0.818407284611355	0.732789075046767	0.781989619966733	0.741267708009809	0.748603013864467	0.825821695135676	0.789470330244966	0.789091471494106	0.7877533708782	1.0	0.78794117702166	0.777023175757579	0.720970952525624	0.730390741634779	0.798955128095148	0.846758375237728	0.796963923249584	0.774546968023584	0.775158945909208	0.738602367171449	0.733753156188221	0.737188516428961	0.7424015631825	0.775005467074311
P3333_Amaranth_BE	0.794664524077071	0.77852704788206	0.84182415763635	0.772244714850207	0.789843812969516	0.813267997921573	0.998685331696049	0.99897478735291	1.0	0.788904379901431	0.998458887729257	0.79581807610786	0.771513564555614	0.769303738856219	0.780078805539292	0.806440772065112	0.892289554938759	0.888361998762324	0.840670618702945	0.769005262725034	0.777359140524261	0.76897665253148	0.78036811441587	0.888565421684269
P3334_WhiteCowpea_BE	0.791877533201124	0.774622912203469	0.838721926196561	0.767951348536087	0.785394451592213	0.811886814901074	0.999310628185536	1.0	0.989273480441279	0.784701174350808	0.988348048696655	0.791129190592476	0.766791809486195	0.765086623025445	0.778942479341472	0.805695765338651	0.888865884429438	0.887474172344383	0.838784998921017	0.762364297048751	0.775450699954042	0.763730602581331	0.777250686254228	0.887530880634204
P3335_RedCowpea_BE	0.791750580562366	0.772818013629522	0.834922690024558	0.764894981627641	0.780280140301495	0.807350708346984	1.0	0.998689941892776	0.988655375582077	0.782233801680592	0.988236093456077	0.788700652659313	0.763969901628436	0.762015214781449	0.775216709844914	0.806583307770203	0.886132460301463	0.885284541947027	0.837516267985959	0.759107880836955	0.770566028447499	0.76032887684417	0.777000622357564	0.885425227227326
P3378_Banana_BE	0.845526017456689	0.777374419898326	0.823194564157804	0.779228262141974	0.796577609451566	1.0	0.829703851789023	0.828496289436071	0.825853991476203	0.842911378568371	0.825801673542125	0.843375434115613	0.762452756588591	0.780536127586729	0.836847576193242	0.871802075054463	0.832320631205668	0.8181604902769	0.808185317526275	0.779633031300259	0.77960469961235	0.777879275882182	0.796161056430495	0.818647653724422
P360_Cocoa_CR	0.802779034099397	0.895521424037025	0.83049554626212	0.903399818183812	1.0	0.824047100221884	0.828197688571737	0.82782268742873	0.826329195199296	0.788149298779521	0.826759065860688	0.826050898112958	0.892059309554049	0.892788193905138	0.79768691768656	0.805405784578179	0.838688903548517	0.819582649546335	0.804021438954568	0.898917649669386	0.93134240911464	0.900988553861887	0.915564305278045	0.821067917387813
