key,P187_SD_IT,P2020_Cocoa_CR,P2024_Cocoa_CR,P2029_Cocoa_CR,P2052_Cocoa_CR,P2176_Unknown_BE,P240_SD_IT,P2711_SD_BE,P2712_SD_BE,P2740_Qu_CN,P2746_Cocoa_VN,P2763_Cocoa_VN,P2764_Cocoa_VN,P2809_Apricot_BE,P3124_LMG_BE,P3333_Amaranth_BE,P3334_WhiteCowpea_BE,P3335_RedCowpea_BE,P3378_Banana_BE,P360_Cocoa_CR,P363_Unknown_BE,P800_Unknown_BE,P815_Cocoa_CR,Reference
P2763_Cocoa_VN,0.8265699165182123,0.9322648680513128,0.9222536852151584,0.9249622870510972,0.9187111828295548,0.819389288722558,0.8256653957213768,0.8429448143278634,0.8153584322618148,0.8096385724295138,0.955796436088997,1.0,0.8338052223167965,0.8331975037241238,0.7903614503415013,0.833266571765188,0.834926752250957,0.8351973793898217,0.8186943712653613,0.924083668001328,0.92677938428187,0.8361618102608801,0.9348760759300944,0.8031599479764804
P2764_Cocoa_VN,0.8255245660772224,0.8323904910033011,0.8097672031481036,0.8148373174888154,0.813516712664891,0.8138444050791962,0.8250447520520947,0.8400946207089617,0.8526529718883146,0.834435015237671,0.8137048040746249,0.8003115723964946,1.0,0.828374716659331,0.8190012599845701,0.8283833017879108,0.8301115348062121,0.8309839746561554,0.8619841917368644,0.8240408212694713,0.8116840996194818,0.8415213745969912,0.8187940637255622,0.8397852003769172
P2809_Apricot_BE,0.8894035037505126,0.7824874766211454,0.768165073278917,0.7797696649115572,0.7673769952830995,0.8430911698320344,0.8891999029982274,0.893800451620438,0.8084212542814372,0.777654682095331,0.7701544106661473,0.7718715927373234,0.7926890758333356,1.0,0.7881160180844929,0.9993624502818392,0.9992125316259282,0.9989434954061912,0.8124432865816745,0.7900818134924393,0.7710891389079164,0.8425943186922442,0.7789909323604018,0.7901691179343175
P3124_LMG_BE,0.7750054670743108,0.7424015631825001,0.7371885164289609,0.7337531561882209,0.7386023671714492,0.7751589459092084,0.7745469680235841,0.7969639232495843,0.8467583752377278,0.7989551280951481,0.7303907416347794,0.7209709525256242,0.7770231757575788,0.7879411770216604,1.0,0.7877533708782001,0.7890914714941057,0.7894703302449665,0.8258216951356758,0.748603013864467,0.7412677080098093,0.7819896199667331,0.7327890750467673,0.818407284611355
P3333_Amaranth_BE,0.8885654216842694,0.7803681144158701,0.7689766525314801,0.7773591405242607,0.7690052627250338,0.8406706187029449,0.8883619987623236,0.8922895549387593,0.8064407720651118,0.7800788055392915,0.7693037388562194,0.7715135645556143,0.7958180761078602,0.9984588877292564,0.788904379901431,1.0,0.99897478735291,0.9986853316960488,0.8132679979215728,0.7898438129695163,0.7722447148502072,0.8418241576363502,0.7785270478820597,0.7946645240770713
P3334_WhiteCowpea_BE,0.8875308806342043,0.7772506862542281,0.763730602581331,0.7754506999540417,0.7623642970487512,0.8387849989210174,0.8874741723443825,0.8888658844294385,0.8056957653386507,0.7789424793414723,0.7650866230254446,0.7667918094861947,0.7911291905924764,0.9883480486966556,0.7847011743508082,0.989273480441279,1.0,0.999310628185536,0.8118868149010743,0.7853944515922128,0.7679513485360875,0.8387219261965606,0.7746229122034691,0.7918775332011242
P3335_RedCowpea_BE,0.8854252272273259,0.7770006223575638,0.7603288768441705,0.770566028447499,0.7591078808369554,0.837516267985959,0.8852845419470273,0.8861324603014633,0.8065833077702035,0.7752167098449143,0.7620152147814487,0.7639699016284357,0.7887006526593126,0.9882360934560768,0.7822338016805923,0.9886553755820772,0.9986899418927764,1.0,0.8073507083469835,0.7802801403014952,0.7648949816276411,0.834922690024558,0.7728180136295221,0.7917505805623662
P3378_Banana_BE,0.8186476537244225,0.7961610564304947,0.7778792758821823,0.7796046996123502,0.779633031300259,0.8081853175262748,0.8181604902769004,0.8323206312056681,0.8718020750544635,0.836847576193242,0.7805361275867287,0.7624527565885915,0.8433754341156134,0.8258016735421254,0.8429113785683711,0.8258539914762031,0.8284962894360707,0.8297038517890227,1.0,0.7965776094515664,0.7792282621419742,0.8231945641578041,0.7773744198983262,0.8455260174566892
P360_Cocoa_CR,0.8210679173878128,0.9155643052780452,0.9009885538618876,0.93134240911464,0.8989176496693856,0.8040214389545682,0.8195826495463348,0.8386889035485174,0.8054057845781789,0.7976869176865602,0.8927881939051384,0.8920593095540491,0.8260508981129583,0.8267590658606884,0.788149298779521,0.8263291951992963,0.8278226874287296,0.828197688571737,0.8240471002218837,1.0,0.903399818183812,0.8304955462621199,0.8955214240370247,0.8027790340993968
P363_Unknown_BE,0.8046542451751267,0.9225568144776302,0.967544678070728,0.9282255478964468,0.9474804880478928,0.8135253473979213,0.803966853216539,0.8288993508889013,0.8084598644891092,0.8054415823223946,0.9212406438185584,0.903906719738926,0.8203246963320594,0.8157802025769173,0.7869537122657498,0.8157106406008579,0.8178133064402013,0.8181475460364553,0.8134926284671554,0.908677366528085,1.0,0.8265404986225751,0.9222910175118466,0.8004404295431083
